samples	size	depth	collection_from	latitude	longitude
SRR6287229	1.2~0.2	5	article	30.458	126.23
SRR6287230	1.2~0.2	5	article	30.75	125.457
SRR6287231	1.2~0.2	5	article	31.042	124.689
SRR6287232	1.2~0.2	5	article	31.333	123.916
SRR6287233	1.2~0.2	5	article	25.25	122.678
SRR6287252	1.2~0.2	5	article	26.171	120.087
SRR6287253	1.2~0.2	5	article	25.667	121.498
SRR6287254	1.2~0.2	5	article	26.619	121.733
SRR6287255	1.2~0.2	5	article	26.277	122.632
SRR6287256	1.2~0.2	5	article	27.888	124.098
SRR6287257	1.2~0.2	5	article	28.278	123.07
SRR6287258	1.2~0.2	5	article	29.68	125.305
SRR6287259	1.2~0.2	5	article	29.294	126.326
SRR6287260	1.2~0.2	5	article	27.458	122.27
SRR6287261	1.2~0.2	5	article	27.751	121.511
SRR6287266	1.2~0.2	5	article	28.668	122.042
SRR6287267	1.2~0.2	5	article	30.459	123.249
SRR6287269	1.2~0.2	5	article	31.159	122.676
SRR6287272	1.2~0.2	5	article	26.584	124.583
SRR6287273	1.2~0.2	5	article	27.501	125.125
SRR6287274	1.2~0.2	5	article	28.417	125.667
SRR6287275	1.2~0.2	5	article	28.708	124.897
SRR6287276	1.2~0.2	5	article	25.25	122.678
SRR6287277	1.2~0.2	5	article	31.333	123.916
SRR6287278	1.2~0.2	5	article	31.042	124.689
SRR6287279	1.2~0.2	5	article	30.75	125.457
SRR6287280	1.2~0.2	5	article	30.458	126.23
SRR6287281	1.2~0.2	5	article	30.167	126.999
SRR6287282	1.2~0.2	5	article	29.292	123.354
SRR6287283	1.2~0.2	5	article	29.584	122.584
SRR6287284	1.2~0.2	5	article	27.751	121.511
SRR6287285	1.2~0.2	5	article	27.458	122.27
SRR6287286	1.2~0.2	5	article	25.667	121.498
SRR6287287	1.2~0.2	5	article	26.171	120.087
SRR6287288	1.2~0.2	5	article	26.277	122.632
SRR6287289	1.2~0.2	5	article	26.619	121.733
SRR6287290	1.2~0.2	5	article	31.625	123.146
SRR6287291	1.2~0.2	5	article	30.07	124.278
SRR6287323	1.2~0.2	5	article	31.159	122.676
SRR6287325	1.2~0.2	5	article	30.459	123.249
SRR6287326	1.2~0.2	5	article	28.668	122.042
SRR6287327	1.2~0.2	5	article	31.625	123.146
SRR6287328	1.2~0.2	5	article	30.07	124.278
SRR6287329	1.2~0.2	5	article	29.292	123.354
SRR6287330	1.2~0.2	5	article	29.584	122.584
SRR9099267	1.2~0.2	3	article	23.78	122.18
SRR9099270	1.2~0.2	3	article	23.82	121.97
SRR9099271	1.2~0.2	3	article	23.74	122.34
SRR9099272	1.2~0.2	3	article	23.7	122.53
SRR9099274	1.2~0.2	3	article	23.74	122.34
SRR9099276	1.2~0.2	3	article	23.65	122.83
SRR9099277	1.2~0.2	3	article	23.7	122.53
SRR9099279	1.2~0.2	3	article	23.65	122.83
SRR9099281	1.2~0.2	3	article	23.61	123
SRR9099282	1.2~0.2	3	article	23.82	121.97
SRR9099284	1.2~0.2	3	article	23.78	122.18
SRR9099288	1.2~0.2	3	article	23.87	121.72
SRR9099290	1.2~0.2	3	article	23.84	121.85
SRR9099296	1.2~0.2	3	article	23.87	121.72
SRR9099297	1.2~0.2	3	article	23.84	121.85
SRR9099298	1.2~0.2	3	article	23.7	122.53
SRR9099300	1.2~0.2	3	article	23.65	122.83
SRR9099303	1.2~0.2	3	article	23.87	121.72
SRR9099305	1.2~0.2	3	article	23.74	122.34
SRR9099307	1.2~0.2	3	article	23.78	122.18
SRR9099309	1.2~0.2	3	article	23.82	121.97
SRR9099311	1.2~0.2	3	article	23.61	123
SRR9099312	1.2~0.2	3	article	23.78	122.18
SRR9099314	1.2~0.2	3	article	23.82	121.97
SRR9099316	1.2~0.2	3	article	23.84	121.85
SRR9099317	1.2~0.2	3	article	23.78	122.18
SRR9099319	1.2~0.2	3	article	23.82	121.97
SRR9099321	1.2~0.2	3	article	23.74	122.34
SRR9099324	1.2~0.2	3	article	23.87	121.72
SRR9099326	1.2~0.2	3	article	23.61	123
SRR9099328	1.2~0.2	3	article	23.7	122.53
SRR9099330	1.2~0.2	3	article	23.65	122.83
SRR9099332	1.2~0.2	3	article	23.65	122.83
SRR9099334	1.2~0.2	3	article	23.61	123
SRR9099336	1.2~0.2	3	article	23.61	123
SRR9099338	1.2~0.2	3	article	23.87	121.72
SRR9099339	1.2~0.2	3	article	23.84	121.85
SRR9099340	1.2~0.2	3	article	23.7	122.53
SRR9099342	1.2~0.2	3	article	23.74	122.34
SRR14663462	800~0.2	0.5	article	36.0549	120.4243
SRR14663463	800~0.2	0.5	article	36.0549	120.4243
SRR14663464	800~0.2	0.5	article	36.062	120.31
SRR14663465	800~0.2	0.5	article	36.0549	120.4243
SRR14663466	800~0.2	0.5	article	36.0549	120.4243
SRR14663467	800~0.2	0.5	article	36.0549	120.4243
SRR14663468	800~0.2	0.5	article	36.067	120.2958
SRR14663469	800~0.2	0.5	article	36.062	120.31
SRR14663470	800~0.2	0.5	article	36.0549	120.4243
SRR14663471	800~0.2	0.5	article	36.067	120.2958
SRR14663472	800~0.2	0.5	article	36.062	120.31
SRR14663473	800~0.2	0.5	article	36.0549	120.4243
SRR14663474	800~0.2	0.5	article	36.067	120.2958
SRR14663475	800~0.2	0.5	article	36.062	120.31
SRR14663476	800~0.2	0.5	article	36.0549	120.4243
SRR14663477	800~0.2	0.5	article	36.0549	120.4243
SRR14663478	800~0.2	0.5	article	36.067	120.2958
SRR14663479	800~0.2	0.5	article	36.062	120.31
SRR14663480	800~0.2	0.5	article	36.0549	120.4243
SRR14663481	800~0.2	0.5	article	36.067	120.2958
SRR14663482	800~0.2	0.5	article	36.0549	120.4243
SRR14663483	800~0.2	0.5	article	36.062	120.31
SRR14663484	800~0.2	0.5	article	36.067	120.2958
SRR14663485	800~0.2	0.5	article	36.062	120.31
SRR14663486	800~0.2	0.5	article	36.0549	120.4243
SRR14663487	800~0.2	0.5	article	36.067	120.2958
SRR14663488	800~0.2	0.5	article	36.0549	120.4243
SRR14663489	800~0.2	0.5	article	36.062	120.31
SRR14663490	800~0.2	0.5	article	36.0549	120.4243
SRR14663491	800~0.2	0.5	article	36.067	120.2958
SRR14663492	800~0.2	0.5	article	36.062	120.31
SRR14663493	800~0.2	0.5	article	36.0549	120.4243
SRR14663494	800~0.2	0.5	article	36.067	120.2958
SRR14663495	800~0.2	0.5	article	36.062	120.31
SRR14663496	800~0.2	0.5	article	36.0549	120.4243
SRR14663497	800~0.2	0.5	article	36.0549	120.4243
SRR14663498	800~0.2	0.5	article	36.0549	120.4243
SRR14663499	800~0.2	0.5	article	36.0549	120.4243
SRR14663500	800~0.2	0.5	article	36.0549	120.4243
SRR14932971	800~0.2	0.5	article	36.0549	120.4243
SRR14932972	800~0.2	0.5	article	36.0549	120.4243
SRR14932973	800~0.2	0.5	article	36.062	120.31
SRR14932974	800~0.2	0.5	article	36.0549	120.4243
SRR14932975	800~0.2	0.5	article	36.0549	120.4243
SRR14932976	800~0.2	0.5	article	36.0549	120.4243
SRR14932977	800~0.2	0.5	article	36.0549	120.4243
SRR14932978	800~0.2	0.5	article	36.067	120.2958
SRR14932979	800~0.2	0.5	article	36.062	120.31
SRR14932980	800~0.2	0.5	article	36.0549	120.4243
SRR14932981	800~0.2	0.5	article	36.067	120.2958
SRR14932982	800~0.2	0.5	article	36.0549	120.4243
SRR14932983	800~0.2	0.5	article	36.062	120.31
SRR14932984	800~0.2	0.5	article	36.0549	120.4243
SRR14932985	800~0.2	0.5	article	36.067	120.2958
SRR14932986	800~0.2	0.5	article	36.062	120.31
SRR14932987	800~0.2	0.5	article	36.0549	120.4243
SRR14932988	800~0.2	0.5	article	36.067	120.2958
SRR14932989	800~0.2	0.5	article	36.062	120.31
SRR14932990	800~0.2	0.5	article	36.0549	120.4243
SRR14932991	800~0.2	0.5	article	36.0549	120.4243
SRR14932992	800~0.2	0.5	article	36.0549	120.4243
SRR14932993	800~0.2	0.5	article	36.0549	120.4243
SRR14932994	800~0.2	0.5	article	36.0549	120.4243
SRR5046909	3~0.2	0.5	article	29.78	122.1
SRR5046910	3~0.2	0.5	article	30.07	121.85
SRR5046911	3~0.2	0.5	article	29.94	122.32
SRR5046912	3~0.2	0.5	article	29.81	122.3
SRR5046913	3~0.2	0.5	article	30.18	122.68
SRR5046914	3~0.2	0.5	article	29.92	122.4
SRR5046915	3~0.2	0.5	article	30.71	122.8
SRR5046916	3~0.2	0.5	article	30.27	122.11
SRR11794484	20~0.2	5	article	19.5	115.25
SRR11794485	20~0.2	5	article	19.88	115.15
SRR11794488	20~0.2	5	article	20.66	114.67
SRR11794490	20~0.2	5	article	21.33	114.33
SRR11794496	20~0.2	5	article	18	116
SRR11794497	20~0.2	5	article	18.5	115.75
SRR11794498	20~0.2	5	article	21.66	114.17
SRR11794499	20~0.2	5	article	22	114
SRR12403482	>0.2	2	article	39.478	120.252
SRR12403487	>0.2	2	article	39.548	120.046
SRR12403489	>0.2	2	article	39.3765	120.551
SRR12403492	>0.2	2	article	39.408	120.458
SRR12403495	>0.2	2	article	39.478	120.252
SRR12403499	>0.2	2	article	39.548	120.046
SRR12403502	>0.2	2	article	39.618	119.84
SRR12403505	>0.2	2	article	39.3765	120.551
SRR12403508	>0.2	2	article	39.408	120.458
SRR12403510	>0.2	2	article	39.478	120.252
SRR12403513	>0.2	2	article	39.548	120.046
SRR12403516	>0.2	2	article	39.618	119.84
SRR12403519	>0.2	2	article	39.3765	120.551
SRR12403520	>0.2	2	article	39.618	119.84
SRR12403523	>0.2	2	article	39.408	120.458
SRR12403526	>0.2	2	article	39.478	120.252
SRR12403529	>0.2	2	article	39.548	120.046
SRR12403531	>0.2	2	article	39.688	119.634
SRR12403533	>0.2	2	article	39.618	119.84
SRR12403536	>0.2	2	article	39.3765	120.551
SRR12403539	>0.2	2	article	39.408	120.458
SRR18456036	>0.2	5	article	21.83	115.42
SRR18456037	>0.2	5	article	18.37	110.28
SRR18456038	>0.2	5	article	18.47	110.67
SRR18456039	>0.2	5	article	18.65	110.5
SRR18456040	>0.2	5	article	18	116
SRR18456041	>0.2	5	article	18.83	119.05
SRR18456042	>0.2	5	article	20.65	114.52
SRR18456043	>0.2	5	article	21.83	115.42
SRR18456044	>0.2	5	article	17	117
SRR18456045	>0.2	5	article	17	115
SRR18456046	>0.2	5	article	20.65	114.52
SRR18456047	>0.2	5	article	18.47	110.67
SRR18456048	>0.2	5	article	18.65	110.5
SRR8432553	3~0.2	0	article	16.525	111.768
SRR8985798	>0.2	0.5	article	37.96	119.5
SRR8985799	>0.2	0.5	article	37.52	119.51
SRR8985800	>0.2	0.5	article	38.75	118.15
SRR8985801	>0.2	0.5	article	38.35	118.95
SRR8985802	>0.2	0.5	article	40.18	120.7
SRR8985803	>0.2	0.5	article	38.85	118.95
SRR8985804	>0.2	0.5	article	39.43	120.98
SRR8985805	>0.2	0.5	article	40.41	121.44
SRR8985806	>0.2	0.5	article	37.87	119.85
SRR8985807	>0.2	0.5	article	33	123.8
SRR8985808	>0.2	0.5	article	38.09	121.04
SRR8985809	>0.2	0.5	article	34	122.5
SRR8985810	>0.2	0.5	article	33	121.83
SRR8985811	>0.2	0.5	article	35	121.49
SRR8985812	>0.2	0.5	article	34	120.67
SRR8985813	>0.2	0.5	article	36	124
SRR8985814	>0.2	0.5	article	35.01	119.81
SRR8985815	>0.2	0.5	article	35.98	120.48
SRR8985816	>0.2	0.5	article	36	122
SRR8985817	>0.2	0.5	article	38.5	121.23
SRR8985818	>0.2	0.5	article	39.09	120
SRR15319045	>0.2	2	article	19.33	111
SRR15319047	>0.2	2	article	19.06	111.49
SRR15319065	>0.2	2	article	20.59	114.72
SRR15319066	>0.2	2	article	20.33	114.8
SRR15319078	>0.2	2	article	21.62	115.37
SRR15319079	>0.2	2	article	22.07	114.65
SRR11022463	>0.2	2	article	27.8604	121.637
SRR11022464	>0.2	2	article	27.6054	124.063
SRR11022465	>0.2	2	article	27.8493	123.388
SRR11022466	>0.2	2	article	28.1044	122.688
SRR11022467	>0.2	2	article	28.3484	122.012
SRR11022468	>0.2	2	article	25.56	120.43
SRR11022469	>0.2	2	article	25.85	120
SRR11022470	>0.2	2	article	25.9307	121.262
SRR11022471	>0.2	2	article	26.219	120.675
SRR11022472	>0.2	2	article	26.3632	120.388
SRR11022473	>0.2	2	article	26.2079	122.213
SRR11022474	>0.2	2	article	26.5074	121.525
SRR11022475	>0.2	2	article	26.8512	120.825
SRR11022476	>0.2	2	article	26.5074	122.378
SRR11022477	>0.2	2	article	26.7736	123.138
SRR11022478	>0.2	2	article	28.0046	125.05
SRR11022479	>0.2	2	article	27.0508	121.849
SRR11022480	>0.2	2	article	27.3281	121.212
SRR11022481	>0.2	2	article	27.0841	123.688
SRR11022482	>0.2	2	article	27.3503	122.962
SRR11022483	>0.2	2	article	27.6053	122.312
SRR11022484	>0.2	2	article	27.8604	121.637
SRR11022485	>0.2	2	article	27.6054	124.063
SRR11022486	>0.2	2	article	27.8493	123.388
SRR11022487	>0.2	2	article	28.1044	122.688
SRR11022488	>0.2	2	article	28.2153	122.362
SRR11022489	>0.2	2	article	28.2154	124.388
SRR11022490	>0.2	2	article	28.0046	125.05
SRR11022491	>0.2	2	article	28.2154	124.388
SRR11022492	>0.2	2	article	28.4482	123.675
SRR11022493	>0.2	2	article	28.6811	122.988
SRR11022494	>0.2	2	article	28.8798	122.362
SRR11022495	>0.2	2	article	25.56	120.43
SRR11022496	>0.2	2	article	25.85	120
SRR11022497	>0.2	2	article	25.9307	121.262
SRR11022498	>0.2	2	article	26.219	120.675
SRR11022499	>0.2	2	article	26.463	120.151
SRR11022500	>0.2	2	article	28.4482	123.675
SRR11022501	>0.2	2	article	26.2079	122.213
SRR11022502	>0.2	2	article	26.5074	121.525
SRR11022503	>0.2	2	article	26.8512	120.825
SRR11022504	>0.2	2	article	26.5074	122.378
SRR11022505	>0.2	2	article	26.7736	123.138
SRR11022506	>0.2	2	article	27.0508	121.849
SRR11022507	>0.2	2	article	27.3281	121.212
SRR11022508	>0.2	2	article	27.0841	123.688
SRR11022509	>0.2	2	article	27.3503	122.962
SRR11022510	>0.2	2	article	27.6053	122.312
SRR11022511	>0.2	2	article	28.6811	122.988
SRR11022512	>0.2	2	article	28.8798	122.362
SRR11087069	>0.2	2	article	27.8604	121.637
SRR11087070	>0.2	2	article	27.6054	124.063
SRR11087071	>0.2	2	article	27.8493	123.388
SRR11087072	>0.2	2	article	28.1044	122.688
SRR11087073	>0.2	2	article	28.3484	122.012
SRR11087074	>0.2	2	article	25.56	120.43
SRR11087075	>0.2	2	article	25.85	120
SRR11087076	>0.2	2	article	25.9307	121.262
SRR11087077	>0.2	2	article	26.219	120.675
SRR11087078	>0.2	2	article	26.3632	120.388
SRR11087079	>0.2	2	article	26.2079	122.213
SRR11087080	>0.2	2	article	26.5074	121.525
SRR11087081	>0.2	2	article	26.8512	120.825
SRR11087082	>0.2	2	article	26.5074	122.378
SRR11087083	>0.2	2	article	26.7736	123.138
SRR11087084	>0.2	2	article	28.0046	125.05
SRR11087085	>0.2	2	article	27.0508	121.849
SRR11087086	>0.2	2	article	27.3281	121.212
SRR11087087	>0.2	2	article	27.0841	123.688
SRR11087088	>0.2	2	article	27.3503	122.962
SRR11087089	>0.2	2	article	27.6053	122.312
SRR11087090	>0.2	2	article	27.8604	121.637
SRR11087091	>0.2	2	article	27.6054	124.063
SRR11087092	>0.2	2	article	27.8493	123.388
SRR11087093	>0.2	2	article	28.1044	122.688
SRR11087094	>0.2	2	article	28.2153	122.362
SRR11087095	>0.2	2	article	28.2154	124.388
SRR11087096	>0.2	2	article	28.0046	125.05
SRR11087097	>0.2	2	article	28.2154	124.388
SRR11087098	>0.2	2	article	28.4482	123.675
SRR11087099	>0.2	2	article	28.6811	122.988
SRR11087100	>0.2	2	article	28.8798	122.362
SRR11087101	>0.2	2	article	25.56	120.43
SRR11087102	>0.2	2	article	25.85	120
SRR11087103	>0.2	2	article	25.9307	121.262
SRR11087104	>0.2	2	article	26.219	120.675
SRR11087105	>0.2	2	article	26.463	120.151
SRR11087106	>0.2	2	article	28.4482	123.675
SRR11087107	>0.2	2	article	26.2079	122.213
SRR11087108	>0.2	2	article	26.5074	121.525
SRR11087109	>0.2	2	article	26.8512	120.825
SRR11087110	>0.2	2	article	26.5074	122.378
SRR11087111	>0.2	2	article	26.7736	123.138
SRR11087112	>0.2	2	article	27.0508	121.849
SRR11087113	>0.2	2	article	27.3281	121.212
SRR11087114	>0.2	2	article	27.0841	123.688
SRR11087115	>0.2	2	article	27.3503	122.962
SRR11087116	>0.2	2	article	27.6053	122.312
SRR11087117	>0.2	2	article	28.6811	122.988
SRR11087118	>0.2	2	article	28.8798	122.362
SRR5757143	20~0.2	2	article	21.371	118.363E
SRR5757145	20~0.2	2	article	19.764	117.081E
SRR5757149	20~0.2	2	article	18.757	116.676E
SRR5757150	20~0.2	2	article	19.571	120.816E
SRR5757154	20~0.2	2	article	17.707	111.704
SRR5757158	20~0.2	2	article	17.75	117.643E
SRR8284951	3~0.2	2	article	22.46	113.92
SRR8284952	3~0.2	2	article	22.47	113.93
SRR8284953	3~0.2	2	article	22.44	113.9
SRR10129761	0.45~0.2	0.5	article	21.6663	108.6018
SRR10129772	0.45~0.2	0.5	article	21.6663	108.6018
SRR10129783	0.45~0.2	0.5	article	21.6663	108.6018
SRR8284954	3~0.2	2	article	22.45	113.91
SRR8284961	3~0.2	2	article	22.5	114.01
SRR8284962	3~0.2	2	article	22.53	113.95
SRR8284963	3~0.2	2	article	22.54	113.95
SRR8284964	3~0.2	2	article	22.55	113.95
SRR8284965	3~0.2	2	article	22.56	113.95
SRR8284966	3~0.2	2	article	22.58	113.95
SRR8284967	3~0.2	2	article	22.59	113.98
SRR8284968	3~0.2	2	article	22.59	113.96
SRR8284969	3~0.2	2	article	22.5	113.98
SRR8284970	3~0.2	2	article	22.5	114
SRR8284971	3~0.2	2	article	22.53	113.95
SRR8284972	3~0.2	2	article	22.5	114.01
SRR8284973	3~0.2	2	article	22.55	113.95
SRR8284974	3~0.2	2	article	22.54	113.95
SRR8284975	3~0.2	2	article	22.51	113.96
SRR8284976	3~0.2	2	article	22.5	113.97
SRR8284977	3~0.2	2	article	22.5	114
SRR8284978	3~0.2	2	article	22.5	113.98
SRR8284979	3~0.2	2	article	22.49	113.95
SRR8284980	3~0.2	2	article	22.47	113.94
SRR8284981	3~0.2	2	article	22.59	113.98
SRR8284982	3~0.2	2	article	22.59	113.96
SRR8284989	3~0.2	2	article	22.56	113.95
SRR8284990	3~0.2	2	article	22.58	113.95
SRR8285023	3~0.2	2	article	22.46	113.92
SRR8285024	3~0.2	2	article	22.47	113.93
SRR8285025	3~0.2	2	article	22.44	113.9
SRR8285026	3~0.2	2	article	22.45	113.91
SRR8285027	3~0.2	2	article	22.5	113.97
SRR8285028	3~0.2	2	article	22.51	113.96
SRR8285029	3~0.2	2	article	22.47	113.94
SRR8285030	3~0.2	2	article	22.49	113.95
SRR9615533	3~0.2	0	article	16.92055555	110.4763889
SRR9615543	3~0.2	0	article	22.12555555	119.2869444
SRR11196030	100~0.2	0.5	article	29.756	121.916
SRR11196031	100~0.2	0.5	article	29.756	121.916
SRR11196032	100~0.2	0.5	article	29.756	121.916
SRR11196033	100~0.2	0.5	article	29.756	121.916
SRR11196034	100~0.2	0.5	article	29.756	121.916
SRR11196037	100~0.2	0.5	article	29.756	121.916
SRR11196038	100~0.2	0.5	article	29.756	121.916
SRR11196039	100~0.2	0.5	article	29.756	121.916
SRR11196040	100~0.2	0.5	article	29.756	121.916
SRR11196041	100~0.2	0.5	article	29.756	121.916
SRR11196042	100~0.2	0.5	article	29.756	121.916
SRR11196043	100~0.2	0.5	article	29.756	121.916
SRR11196044	100~0.2	0.5	article	29.756	121.916
SRR11196045	100~0.2	0.5	article	29.756	121.916
SRR11196046	100~0.2	0.5	article	29.756	121.916
SRR11196047	100~0.2	0.5	article	29.756	121.916
SRR11196049	100~0.2	0.5	article	29.756	121.916
SRR11196050	100~0.2	0.5	article	29.756	121.916
SRR11196051	100~0.2	0.5	article	29.756	121.916
SRR11196052	100~0.2	0.5	article	29.756	121.916
SRR11364067	>0.2	0	article	39.639	119.831
SRR11364073	>0.2	1	article	39.478	120.248
SRR11364079	>0.2	0	article	39.548	120.042
SRR11364083	>0.2	0	article	39.639	119.831
SRR11364086	>0.2	0	article	39.478	120.248
SRR11364089	>0.2	0	article	39.478	120.248
SRR11364093	>0.2	5	article	39.548	120.042
SRR11364094	>0.2	0	article	39.548	120.042
SRR11364099	>0.2	0	article	39.639	119.831
SRR11364104	>0.2	0	article	39.478	120.248
SRR11364107	>0.2	0	article	39.548	120.042
SRR11364109	>0.2	0	article	39.548	120.042
SRR11483737	>0.2	2	article	36.084	120.211
SRR11483738	>0.2	2	article	36.084	120.211
SRR11483739	>0.2	2	article	36.084	120.211
SRR11483740	>0.2	2	article	36.084	120.211
SRR11483741	>0.2	2	article	36.084	120.167
SRR11483742	>0.2	2	article	36.084	120.167
SRR11483743	>0.2	2	article	36.084	120.167
SRR11483744	>0.2	2	article	36.084	120.167
SRR11483754	>0.2	2	article	36.119	120.224
SRR11483755	>0.2	2	article	36.119	120.224
SRR11483756	>0.2	2	article	36.119	120.224
SRR11483757	>0.2	2	article	36.119	120.224
SRR11483759	>0.2	2	article	36.119	120.182
SRR11483760	>0.2	2	article	36.119	120.182
SRR11483761	>0.2	2	article	36.119	120.182
SRR11483762	>0.2	2	article	36.119	120.182
SRR11483763	>0.2	2	article	36.119	120.14
SRR11483764	>0.2	2	article	36.119	120.14
SRR11483765	>0.2	2	article	36.119	120.14
SRR11483766	>0.2	2	article	36.119	120.14
SRR11483769	>0.2	2	article	36.17	120.208
SRR11483780	>0.2	2	article	36.17	120.208
SRR11483781	>0.2	2	article	36.153	120.232
SRR11483782	>0.2	2	article	36.153	120.232
SRR11483783	>0.2	2	article	36.153	120.232
SRR11483784	>0.2	2	article	36.153	120.232
SRR11483785	>0.2	2	article	36.153	120.198
SRR11483786	>0.2	2	article	36.153	120.198
SRR11483787	>0.2	2	article	36.153	120.198
SRR11483788	>0.2	2	article	36.153	120.198
SRR11483791	>0.2	2	article	36.153	120.164
SRR11483810	>0.2	2	article	36.153	120.164
SRR11483821	>0.2	2	article	36.153	120.164
SRR11483829	>0.2	2	article	36.153	120.164
SRR11483830	>0.2	2	article	36.17	120.208
SRR11483831	>0.2	2	article	36.17	120.208
SRR24446187	>0.2	0.5	article	16.951	112.34
SRR24446100	>0.2	0.5	article	16.968	112.29
SRR24446101	>0.2	0.5	article	16.968	112.29
SRR24446102	>0.2	0.5	article	16.968	112.29
SRR24446104	>0.2	0.5	article	16.961	112.324
SRR24446107	>0.2	0.5	article	16.979	112.29
SRR24446108	>0.2	0.5	article	16.979	112.29
SRR24446109	>0.2	0.5	article	16.979	112.29
SRR24446113	>0.2	0.5	article	16.987	112.274
SRR24446114	>0.2	0.5	article	16.987	112.274
SRR24446115	>0.2	0.5	article	16.961	112.324
SRR24446116	>0.2	0.5	article	16.987	112.274
SRR24446120	>0.2	0.5	article	16.994	112.256
SRR24446121	>0.2	0.5	article	16.994	112.256
SRR24446122	>0.2	0.5	article	16.994	112.256
SRR24446127	>0.2	0.5	article	16.368	112.039
SRR24446128	>0.2	0.5	article	16.368	112.039
SRR24446129	>0.2	0.5	article	16.368	112.039
SRR24446130	>0.2	0.5	article	16.366	112.045
SRR24446131	>0.2	0.5	article	16.366	112.045
SRR24446132	>0.2	0.5	article	16.366	112.045
SRR24446133	>0.2	0.5	article	17.06	111.5
SRR24446134	>0.2	0.5	article	17.06	111.5
SRR24446140	>0.2	0.5	article	16.971	112.256
SRR24446141	>0.2	0.5	article	16.971	112.256
SRR24446145	>0.2	0.5	article	16.961	112.324
SRR24446146	>0.2	0.5	article	16.968	112.272
SRR24446147	>0.2	0.5	article	16.968	112.272
SRR24446148	>0.2	0.5	article	16.968	112.272
SRR24446155	>0.2	0.5	article	17.069	111.513
SRR24446156	>0.2	0.5	article	17.069	111.513
SRR24446157	>0.2	0.5	article	17.069	111.513
SRR24446161	>0.2	0.5	article	16.94	112.323
SRR24446162	>0.2	0.5	article	16.94	112.323
SRR24446163	>0.2	0.5	article	16.94	112.323
SRR24446168	>0.2	0.5	article	16.952	112.322
SRR24446169	>0.2	0.5	article	16.952	112.322
SRR24446170	>0.2	0.5	article	16.952	112.322
SRR24446174	>0.2	0.5	article	16.949	112.315
SRR24446175	>0.2	0.5	article	16.951	112.34
SRR24446176	>0.2	0.5	article	16.949	112.315
SRR24446177	>0.2	0.5	article	16.949	112.315
SRR24446181	>0.2	0.5	article	16.97	112.306
SRR24446182	>0.2	0.5	article	16.97	112.306
SRR24446183	>0.2	0.5	article	16.97	112.306
SRR24446186	>0.2	0.5	article	16.951	112.34
SRR4197599	3~0.2	1	article	21.7	113.85
SRR4197600	3~0.2	1	article	22.56	113.72
SRR4197602	3~0.2	1	article	21.93	114.41
SRR4197603	3~0.2	1	article	22.2	113.74
SRR4197604	3~0.2	1	article	22	113.79
SRR4197605	3~0.2	1	article	21.62	113.15
SRR4197606	3~0.2	1	article	21.83	114.82
SRR4197608	3~0.2	1	article	22.56	113.72
SRR4197609	3~0.2	1	article	22.2	113.74
SRR4197610	3~0.2	1	article	22	113.79
SRR4458037	3~0.2	0.5	article	20.5	120.5
SRR4458038	3~0.2	0.5	article	20.5	119
SRR4458039	3~0.2	0.5	article	20.5	118.5
SRR4458040	3~0.2	0.5	article	20.5	120
SRR4458041	3~0.2	0.5	article	20.5	119.5
SRR4458042	3~0.2	0.5	article	20.5	117
SRR4458043	3~0.2	0.5	article	20.5	116.5
SRR4458044	3~0.2	0.5	article	20.5	118
SRR4458045	3~0.2	0.5	article	20.5	117.5
47-5m	0.2-20	5	zheng	15.451	112.499
49-2m	0.2-20	2	zheng	15.453	111.552
51-5m	0.2-20	5	zheng	15.479	110.522
52-5m	0.2-20	2	zheng	14.003	110.5
54-2m	0.2-20	2	zheng	13.994	111.502
56-2m	0.2-20	2	zheng	13.999	112.503
59-5m	0.2-20	5	zheng	13.001	112.198
61-5m	0.2-20	5	zheng	13.006	111.485
63-5m	0.2-20	5	zheng	13.001	110.499
64-2m	0.2-20	2	zheng	11.914	110.542
66-2m	0.2-20	2	zheng	12.003	111.505
68-5m	0.2-20	5	zheng	12	112.502
71-5m	0.2-20	5	zheng	10.999	112.504
73-5m	0.2-20	5	zheng	11.004	111.505
75-5m	0.2-20	5	zheng	11.008	110.512
76-2m	0.2-20	2	zheng	10.001	110.5
78-2m	0.2-20	2	zheng	10	111.497
80-2m	0.2-20	2	zheng	9.995	112.494
A13	0.2-20	2	zheng	21.061	112.621
A14	0.2-20	2	zheng	22.04	114.398
A16	0.2-20	2	zheng	19.998	112.314
A17	0.2-20	2	zheng	19.397	110.902
A18	0.2-20	2.1	zheng	19.998	115.002
A4	0.2-20	1.5	zheng	21.99	114.013
B12	0.2-20	3	zheng	16	118.002
B19	0.2-20	1.9	zheng	21.733	114.25
B6	0.2-20	2	zheng	18.017	111.978
C1	0.2-20	2.7	zheng	22	117.998
C1-10m	0.2-20	10	zheng	11.604	111.568
C17	0.2-20	2.1	zheng	20.998	119.997
C21	0.2-20	6	zheng	19.998	119
C3-10m	0.2-20	10	zheng	12	111.26
C5-10m	0.2-20	10	zheng	12.401	110.955
C6	0.2-20	2	zheng	21	118.997
C7-10m	0.2-20	10	zheng	12.799	110.648
CJ17	0.2-20	2	zheng	30.999	122.249
CJ19	0.2-20	2	zheng	30.4	123.972
CJ22	0.2-20	2	zheng	30.021	123.987
CJ25	0.2-20	2	zheng	30.841	122.616
CJ41	0.2-20	2	zheng	30.742	122.97
