samples	size	depth	collection_from	latitude	longitude
SRR12841278	3~0.2	3	article	34	123.977
SRR12841282	3~0.2	3	article	34	123.061
SRR12841285	3~0.2	3	article	34	121.995
SRR12841287	3~0.2	3	article	35	120.993
SRR12841291	3~0.2	3	article	35	121.633
SRR12841294	3~0.2	3	article	35	122.298
SRR12841297	3~0.2	3	article	35	123
SRR12841300	3~0.2	3	article	35	124
SRR12841301	3~0.2	3	article	38.954	123.922
SRR12841304	3~0.2	3	article	36	124
SRR12841307	3~0.2	3	article	36	123
SRR12841310	3~0.2	3	article	36	122.324
SRR12841314	3~0.2	3	article	36	121.672
SRR12841317	3~0.2	3	article	36	121.108
SRR12841320	3~0.2	3	article	37.38	122.841
SRR12841322	3~0.2	3	article	37.38	123.957
SRR12841326	3~0.2	3	article	37.936	121.086
SRR12841328	3~0.2	3	article	38.46	122.015
SRR12841331	3~0.2	3	article	37.915	121.989
SRR12841334	3~0.2	3	article	38.398	123.47
SRR12841335	3~0.2	3	article	37.668	122.478
SRR12841337	3~0.2	3	article	38.193	122.742
SRR12841340	3~0.2	3	article	38.728	123
SRR12841344	3~0.2	3	article	38.398	123.47
SRR12841345	3~0.2	3	article	37.884	123.067
SRR12841348	3~0.2	3	article	36.969	123.718
SRR12841351	3~0.2	3	article	35.5	123.979
SRR12841355	3~0.2	3	article	35.5	121.671
SRR12841358	3~0.2	3	article	35.5	122.311
SRR12841361	3~0.2	3	article	35.5	123.001
SRR12841364	3~0.2	3	article	33	123.01
SRR12841365	3~0.2	3	article	37.884	123.067
SRR12841368	3~0.2	3	article	33	124.001
SRR12841371	3~0.2	3	article	34	123.977
SRR12841374	3~0.2	3	article	34	123.061
SRR12841378	3~0.2	3	article	34	121.995
SRR12841380	3~0.2	3	article	34	121.393
SRR12841382	3~0.2	3	article	35	120.993
SRR12841385	3~0.2	3	article	35	121.633
SRR12841389	3~0.2	3	article	35	122.298
SRR12841392	3~0.2	3	article	35	123
SRR12841395	3~0.2	3	article	35	124
SRR12841398	3~0.2	3	article	36.969	123.718
SRR12841399	3~0.2	3	article	36	124
SRR12841402	3~0.2	3	article	36	123
SRR12841405	3~0.2	3	article	36	122.324
SRR12841408	3~0.2	3	article	36	121.672
SRR12841412	3~0.2	3	article	36	121.108
SRR12841416	3~0.2	3	article	37.38	123.957
SRR12841419	3~0.2	3	article	37.936	121.086
SRR12841422	3~0.2	3	article	38.44	121.325
SRR12841425	3~0.2	3	article	38.46	122.015
SRR12841428	3~0.2	3	article	37.915	121.989
SRR16298103	>0.2	0.5	article	20.04	114.73
SRR16298104	>0.2	0.5	article	19.85	114.8
SRR16298105	>0.2	0.5	article	19.64	114.88
SRR16298106	>0.2	0.5	article	19.41	114.96
SRR16298107	>0.2	0.5	article	19.02	115.12
SRR16298108	>0.2	0.5	article	18.62	115.27
SRR16298109	>0.2	0.5	article	22.91	113.56
SRR16298110	>0.2	0.5	article	22.56	113.72
SRR16298111	>0.2	0.5	article	22.51	113.74
SRR16298112	>0.2	0.5	article	22.41	113.76
SRR16298113	>0.2	0.5	article	22.35	113.78
SRR16298114	>0.2	0.5	article	22.2	113.82
SRR16298115	>0.2	0.5	article	22.17	113.83
SRR16298116	>0.2	0.5	article	22.13	113.85
SRR16298118	>0.2	0.5	article	21.98	113.87
SRR16298119	>0.2	0.5	article	21.86	113.85
SRR16298120	>0.2	0.5	article	21.72	113.83
SRR16298121	>0.2	0.5	article	21.54	113.79
SRR16298122	>0.2	0.5	article	21.45	114.16
SRR16298123	>0.2	0.5	article	21.16	114.27
SRR16298124	>0.2	0.5	article	20.83	114.39
SRR16298125	>0.2	0.5	article	20.62	114.48
SRR16298126	>0.2	0.5	article	20.43	114.56
SRR16298127	>0.2	0.5	article	20.23	114.63
SRR16298128	>0.2	0.5	article	22.74	113.65
SRR16298129	>0.2	0.5	article	22.67	113.68
SRR17031549	3~0.2	3	article	21.69	117.99
SRR17031592	3~0.2	3	article	22.13	117.46
SRR4044252	>0.2	0.5	article	23.4681	117.1006
SRR4096441	>0.2	0.5	article	23.4681	117.1006
SRR4105458	>0.2	0.5	article	23.4681	117.1006
SRR4105463	>0.2	0.5	article	23.487	117.0939
SRR4105465	>0.2	0.5	article	23.487	117.0939
SRR4105467	>0.2	0.5	article	23.487	117.0939
SRR5312630	>0.2	0	article	38.5	120.76
SRR5312632	>0.2	0	article	38.08	119.31
SRR5312634	>0.2	0	article	38.23	121.11
SRR5312636	>0.2	0	article	38.2	122.18
SRR5312640	>0.2	0	article	38.24	119.56
SRR5312642	>0.2	0	article	38.5	120.05
SRR11319332	>0.2	2	article	38.351	119.78
SRR11319333	>0.2	2	article	38.339	120.183
SRR11319334	>0.2	2	article	38.352	120.447
SRR11319335	>0.2	2	article	38.346	120.711
SRR11319336	>0.2	2	article	38.323	119
SRR11319337	>0.2	2	article	38.326	119.199
SRR11319338	>0.2	2	article	38.332	119.44
SRR11319339	>0.2	2	article	38.351	119.78
SRR11319340	>0.2	2	article	38.207	118.593
SRR11319341	>0.2	2	article	38.326	119.199
SRR11319342	>0.2	2	article	38.339	120.183
SRR11319343	>0.2	2	article	38.352	120.447
SRR6429180	>0.2	2	article	37.748	120.106
SRR6429181	>0.2	2	article	37.749	119.933
SRR6429182	>0.2	2	article	38.983	118.982
SRR6429183	>0.2	2	article	38.831	118.973
SRR6429184	>0.2	2	article	38.669	118.952
SRR6429185	>0.2	2	article	38.501	118.98
SRR6429186	>0.2	2	article	39.002	120.806
SRR6429187	>0.2	2	article	39.057	120.608
SRR6429188	>0.2	2	article	39.183	120.071
SRR6429189	>0.2	2	article	39.308	119.707
SRR6429190	>0.2	2	article	37.749	119.651
SRR6429191	>0.2	2	article	37.758	119.394
SRR10428610	>0.2	2	article	35.5	123
SRR10428616	>0.2	2	article	32	124
SRR10428621	>0.2	2	article	32	123.5
SRR10428627	>0.2	2	article	32	123.1
SRR10428632	>0.2	2	article	32	122.53
SRR10428638	>0.2	2	article	32.5	122.21
SRR10428643	>0.2	2	article	35	124
SRR10428647	>0.2	2	article	36	123
SRR10428650	>0.2	2	article	35	123.5
SRR10428656	>0.2	2	article	35	123
SRR10428663	>0.2	2	article	35.5	123.5
SRR11787866	3~0.2	2	article	30.99	122.771
SRR11787867	3~0.2	2	article	30.99	122.771
SRR11787869	3~0.2	2	article	30.99	122.771
SRR11787870	3~0.2	2	article	30.99	122.771
SRR11787871	3~0.2	2	article	30.99	122.771
SRR11787872	3~0.2	2	article	30.99	122.771
SRR11787873	3~0.2	2	article	30.99	122.771
SRR11787874	3~0.2	2	article	30.99	122.771
SRR13357158	200~0.2	5	article	19.75	115.12
SRR13357160	200~0.2	5	article	21	114.5
SRR13357164	200~0.2	5	article	19.75	115.12
SRR13357167	200~0.2	5	article	19.75	115.12
SRR13357171	200~0.2	5	article	19.75	115.12
SRR13357175	200~0.2	5	article	19.75	115.12
SRR13357182	200~0.2	5	article	21	114.5
SRR13357187	200~0.2	5	article	18	116
SRR13357191	200~0.2	5	article	18	116
SRR13357194	200~0.2	5	article	18	116
SRR13357198	200~0.2	5	article	18	116
SRR13357201	200~0.2	5	article	18	116
SRR13357203	200~0.2	5	article	18	116
SRR13357205	200~0.2	5	article	21.89	113.63
SRR13357234	200~0.2	5	article	19.75	115.12
SRR13357263	200~0.2	5	article	19.75	115.12
SRR13357265	200~0.2	5	article	21.89	113.63
SRR13357266	200~0.2	5	article	19.75	115.12
SRR13357269	200~0.2	5	article	21	114.5
SRR13357272	200~0.2	5	article	21	114.5
SRR13357292	200~0.2	5	article	18	116
SRR13357294	200~0.2	5	article	18	116
SRR13357298	200~0.2	5	article	18	116
SRR13357301	200~0.2	5	article	18	116
SRR13357303	200~0.2	5	article	18	116
SRR16759062	>0.2	0.5	article	34.5	123.8
SRR16759063	>0.2	0.5	article	34.5	123.8
SRR16759064	>0.2	0.5	article	34.5	123.8
SRR16759065	>0.2	0.5	article	34.5	123.8
SRR16759066	>0.2	0.5	article	34.5	123.8
SRR16759071	>0.2	0.5	article	36	122
SRR16759072	>0.2	0.5	article	35.5	123.81
SRR16759073	>0.2	0.5	article	35.5	123.81
SRR16759074	>0.2	0.5	article	35.5	123.8
SRR16759075	>0.2	0.5	article	35.5	123.8
SRR16759081	>0.2	0.5	article	36.5	123.8
SRR16759082	>0.2	0.5	article	36	122
SRR16759083	>0.2	0.5	article	36.5	123.8
SRR16759084	>0.2	0.5	article	36.5	123.8
SRR16759085	>0.2	0.5	article	36.5	123.8
SRR16759088	>0.2	0.5	article	36.5	123.8
SRR16759090	>0.2	0.5	article	31	123
SRR16759091	>0.2	0.5	article	31	123
SRR16759092	>0.2	0.5	article	31	123
SRR16759096	>0.2	0.5	article	34.5	123.8
